name,description,image,imageHash,edition,date,attributes_0_trait_type,attributes_0_value,attributes_1_trait_type,attributes_1_value,attributes_2_trait_type,attributes_2_value,attributes_3_trait_type,attributes_3_value
#1,NodeRocks,ipfs://NewUriToReplace/1.png,bb7487a64f48ac1f302b7a2e46bec23c1016d029f1033a20360aece575e87b20,1,1702317183385,Body,Green,Hat,Stoner,Eyes,Electric,Mouth,Cigarette
#2,NodeRocks,ipfs://NewUriToReplace/2.png,422722aaab358500e8e02f28123e6561aed26d8ef42718a3a93eba97322732e5,2,1702317183395,Body,Blackrock,Hat,Cowboy,Eyes,Eyepatch,,
#3,NodeRocks,ipfs://NewUriToReplace/3.png,040cbd38f4eb4005b82ee56dbed4272ae3efc0df205668600d0919d7bb0cdfa9,3,1702317183400,Body,Classic,Hat,Satoshi Cap,Eyes,Three,,
#4,NodeRocks,ipfs://NewUriToReplace/4.png,a14658000aa39981153111319615f3ef677b355c1c548583b1d856548aabccf6,4,1702317183407,Body,VHS,Hat,Node Hat,Eyes,Gold,,
#5,NodeRocks,ipfs://NewUriToReplace/5.png,59330e75a15b1d604adbb0f2434b45d7accf7798f47bdb270d5c9600067cf20c,5,1702317183413,Body,Rainbow,Hat,Black Messy,Eyes,Eyepatch,Mouth,Cigarette
#6,NodeRocks,ipfs://NewUriToReplace/6.png,26f475bae668aaca5187c4f9d82c8854ea2590353dbc65fe0e3977bb4c7d75dd,6,1702317183418,Body,VHS,Hat,Fro,Eyes,Ord,,
#7,NodeRocks,ipfs://NewUriToReplace/7.png,137a93394e2262af354b5d4a2a6f9a16db985d8d44138aac9982dbb09e0a98eb,7,1702317183426,Body,Lapis Lazuli,Hat,Hoodie,Eyes,OMB,,
#8,NodeRocks,ipfs://NewUriToReplace/8.png,46236ac09f9f5de0a840db0878362c5080cd8710b0eee1eab3600764e97b214e,8,1702317183432,Body,Brown,Hat,Satoshi Cap,Eyes,Ruby Gold,,
#9,NodeRocks,ipfs://NewUriToReplace/9.png,44fa93efb529d4efba66013466234349f12419fff432bc8de246af03ace9f5ab,9,1702317183437,Body,Rainbow,Hat,Captain,Eyes,Ooga,,
#10,NodeRocks,ipfs://NewUriToReplace/10.png,101de5eac2f29d0627a67d998e74274eb8b704e38d43a5e4602d5c6a6d77fcf1,10,1702317183442,Body,Emerald,Hat,Crystalized,Eyes,Rainbow,,
#11,NodeRocks,ipfs://NewUriToReplace/11.png,a67885dc1a952fa2a6f1e5867e392b69e8d7a86f58e2e4356b967264f7c9ec98,11,1702317183447,Body,Rainbow,Hat,Black Bucket,Eyes,Gold,,
#12,NodeRocks,ipfs://NewUriToReplace/12.png,8543873fe0cf709d1288fee84df9676439e0c504bc077233154fddf46ef72b6a,12,1702317183452,Body,Blackrock,Hat,Halo,Eyes,Blue Cover,,
#13,NodeRocks,ipfs://NewUriToReplace/13.png,31d6144ac61fc218d91d81ff1d2fa440c604e59ff6b4d434fbf1800ff2e39cc0,13,1702317183458,Body,Lapis Lazuli,Hat,Lightning,Eyes,Stoned,,
#14,NodeRocks,ipfs://NewUriToReplace/14.png,fee7c62ec90444626c5c3d7888061da3e0b18214afdcf37f4262064c81980492,14,1702317183463,Body,Mosaic,Hat,Node Hat,Eyes,Gloss,,
#15,NodeRocks,ipfs://NewUriToReplace/15.png,ba51f53f849e6b7fb2729c7f7ad83d8710b48d37c471dbb421ef988b84238aeb,15,1702317183468,Body,Pepe,Hat,Stoner,Eyes,Stoned,,
#16,NodeRocks,ipfs://NewUriToReplace/16.png,4d9d832b8a31c466e748ad332f7c67e30ce98bfcde23ba35b72a60cc23c78c7c,16,1702317183473,Body,Silver,Hat,Black Messy,Eyes,Stoned,,
#17,NodeRocks,ipfs://NewUriToReplace/17.png,4b6fd8d0c7ca7d40ee06cd39bedaf2f31fa9803276984b33aeafddad520df015,17,1702317183479,Body,Mosaic,Hat,Police,Eyes,Bored,,
#18,NodeRocks,ipfs://NewUriToReplace/18.png,be857a019b886f699bbf7b3130ce19f9c1446b39556da9baad761f9a329c7e2b,18,1702317183485,Body,Zombie,Hat,Sweatband,Eyes,3d,,
#19,NodeRocks,ipfs://NewUriToReplace/19.png,0ab9da39f6fc519b34fb3077d04e50d37b8b2fce2766495c2c86ae2de86599a6,19,1702317183493,Body,Bleeding,Hat,Emo,Eyes,Stare,Mouth,Cigarette
#20,NodeRocks,ipfs://NewUriToReplace/20.png,7912f0b73405600e702fe8edfb5198ce60168809063673df7afeba9a712fa7cf,20,1702317183498,Body,Lapis Lazuli,Hat,White Fro,Eyes,Ord,,
#21,NodeRocks,ipfs://NewUriToReplace/21.png,d26892a62c3b134cb2e8a26bfa94c8b4e442385a28d0430762650a4c2227c84a,21,1702317183503,Body,Classic,Hat,White Bucket,Eyes,Ooga,,
#22,NodeRocks,ipfs://NewUriToReplace/22.png,d00ae26494ba670f6f7c3dafbe977a45fd618487e0c667360931a14828fa5296,22,1702317183510,Body,Computer,Hat,Froggy,Eyes,Lashes,,
#23,NodeRocks,ipfs://NewUriToReplace/23.png,1880ca05bfff0ef19061c45a5d0efd0644a92ee7ee7e6b74d60d9020f2ec4d7f,23,1702317183516,Body,Mosaic,Hat,Rock Sailor,Eyes,Diamonds,,
#24,NodeRocks,ipfs://NewUriToReplace/24.png,54cdf2efe43fd0d8c27e3e3b63edb9eb6ce428ef2b9281b1162d7813a6d74528,24,1702317183520,Body,Brown,Hat,Ion,Eyes,Bored,,
#25,NodeRocks,ipfs://NewUriToReplace/25.png,c40be175c17d694d05557470379fcf3daaec2b370d623901479e50561b7279f7,25,1702317183525,Body,Green,Hat,White Bucket,Eyes,Blue Cover,,
#26,NodeRocks,ipfs://NewUriToReplace/26.png,96950eee110e87894c920f77f375bda3d11722ff9b0b5dfd201a4fe982d7404e,26,1702317183531,Body,Emerald,Hat,Halo,Eyes,VHS,,
#27,NodeRocks,ipfs://NewUriToReplace/27.png,908a1c5727dd232ef0d734c12ce453c0b75f669550d30b51853978ae5a3a3a48,27,1702317183536,Body,Green,Hat,Fro,Eyes,Phase,,
#28,NodeRocks,ipfs://NewUriToReplace/28.png,22b6f2ee3662bd1e79500df3ff6baf3e4fdcbbd8a1fbeac683d9bc0988bce52f,28,1702317183543,Body,Cliff,Eyes,Three,Mouth,Blunt,,
#29,NodeRocks,ipfs://NewUriToReplace/29.png,ec6061392cee89754bd4c2bb6172d367ea73ef12ce17c668b6b82670b320d8f7,29,1702317183548,Body,Cliff,Eyes,Diamonds,Mouth,Cigarette,,
#30,NodeRocks,ipfs://NewUriToReplace/30.png,d2dd38f2ab5f9f2fed2e3366db44da35ea240b916047ffa1eb8d108e868ea985,30,1702317183553,Body,Rock Johnson,Hat,Fez,Eyes,Phase,,
#31,NodeRocks,ipfs://NewUriToReplace/31.png,64b9f9b246cf34fe97a84b94adb381a61cdc0aa1404285e12d18139ad51c2dcb,31,1702317183557,Body,VHS,Hat,Purple Cap,Eyes,Stare,,
#32,NodeRocks,ipfs://NewUriToReplace/32.png,592617d5bd581a7be334dfe092256c2b2ca78240be5185dca83fe85ef8d0c831,32,1702317183561,Body,Brown,Hat,Emo,Eyes,Lashes,,
#33,NodeRocks,ipfs://NewUriToReplace/33.png,be932b417755d3823ac7805453b29d2f67d1e00e83f583ba433ca8519a76cbcb,33,1702317183565,Body,White,Hat,Stoner,Eyes,Three,,
#34,NodeRocks,ipfs://NewUriToReplace/34.png,19ee39552a94c448ec95456fba18d74268a17b08ee02842dbd31357a8f9c78e6,34,1702317183570,Body,Diamond,Hat,White Bucket,Eyes,Gold,Mouth,Blunt
#35,NodeRocks,ipfs://NewUriToReplace/35.png,d16b88fb93d6ce2c250bce60b02501aa270093e16c6e8145e3de08ddf6872ac6,35,1702317183573,Body,White,Hat,Fro,Eyes,Stoned,,
#36,NodeRocks,ipfs://NewUriToReplace/36.png,a2122884ceb7ad24f2efa55c76bb76cf8ed7c3b35b1864557d6553448a6ab0d1,36,1702317183577,Body,Rainbow,Hat,Satoshi Cap,Eyes,Blue Cover,,
#37,NodeRocks,ipfs://NewUriToReplace/37.png,db3c7d69a42693ff43b0e03b9547310a3220159296d41f26aaa1182b91fb8013,37,1702317183590,Body,Emerald,Hat,Lightning,Eyes,Bored,,
#38,NodeRocks,ipfs://NewUriToReplace/38.png,9de341b71ab3b085f719c8bf85f233a731f04e0e133ab07ecb51f40cb91c3e0a,38,1702317183597,Body,Green,Hat,White Bucket,Eyes,Gloss,,
#39,NodeRocks,ipfs://NewUriToReplace/39.png,5462250eee8bfa4c9b94f5fb804d79a73f022a11632677f097f60704c350ef9c,39,1702317183601,Body,Classic,Hat,Fez,Eyes,Gloss,,
#40,NodeRocks,ipfs://NewUriToReplace/40.png,ab64fd0250be198162ed9926cd29bc593c94c95b4c94668cc410ff00132b863f,40,1702317183605,Body,VHS,Hat,Captain,Eyes,Phase,,
#41,NodeRocks,ipfs://NewUriToReplace/41.png,d0441064c657d02db5fa75ef37029e875f99f3e5b8ab153f326d84b0ac18fe18,41,1702317183608,Body,Mosaic,Hat,USBC,Eyes,Lashes,,
#42,NodeRocks,ipfs://NewUriToReplace/42.png,340d028ab7f7b9d8eeeb344cf9e76c3ca3be8ca9f73e6adf7bde30fd5d02ff59,42,1702317183613,Body,Demon,Hat,Lightning,Eyes,Safemode,,
#43,NodeRocks,ipfs://NewUriToReplace/43.png,8f3c3976080cc8c65b850f62122cb6ded7bc661ff09fe741b1c00c668b386eac,43,1702317183616,Body,Green,Hat,Black Messy,Eyes,Rainbow,,
#44,NodeRocks,ipfs://NewUriToReplace/44.png,8a9953cdf40070623d772659bdd4cd8cd7b76dfc2a1d5229a1fc1cc5f96624b9,44,1702317183620,Body,Zombie,Hat,Police,Eyes,Stoned,,
#45,NodeRocks,ipfs://NewUriToReplace/45.png,ecf562ace4143039f625d763ca09e1d11d53cda78e4ba4cd8f936ebccd180556,45,1702317183624,Body,Brown,Hat,Fro,Eyes,VHS,Mouth,Cigarette
#46,NodeRocks,ipfs://NewUriToReplace/46.png,5b36523ecbed5510166cf364f20cb3744dec12e8df06b9b9d4a119901bc77e84,46,1702317183628,Body,Pepe,Hat,Halo,Eyes,Safemode,,
#47,NodeRocks,ipfs://NewUriToReplace/47.png,cd353f960fec6a43deddb9a6d5478979193c14f840872666ad383c40440f70b3,47,1702317183633,Body,Green,Hat,Purple Cap,Eyes,Visor,,
#48,NodeRocks,ipfs://NewUriToReplace/48.png,883334b1363606c96e5c5d08c726c7f264e5987058e18441405ea6cc36e083a4,48,1702317183637,Body,Classic,Hat,Cowboy,Eyes,Electric,,
#49,NodeRocks,ipfs://NewUriToReplace/49.png,af9c0f9f64971d77f2f1150fa55c3e4edbe077551f8b8cd4447b28490cd9d11d,49,1702317183640,Body,Green,Hat,Node Hat,Eyes,Phase,,
#50,NodeRocks,ipfs://NewUriToReplace/50.png,8e73c4137ef57d4e0425d9d113787792c588e4819e88a3fe33e93fc7f111e26c,50,1702317183644,Body,Silver,Hat,Rock Sailor,Eyes,Lashes,,
#51,NodeRocks,ipfs://NewUriToReplace/51.png,6eefa9c3f605f8dc20b795ccf4b62e6b675eb5e606420ee58b2c2039a092dc98,51,1702317183649,Body,Rainbow,Hat,Crown,Eyes,VHS,,
#52,NodeRocks,ipfs://NewUriToReplace/52.png,f5f10e743fcf328b8c7582eed440a852453a1498e75c6ca1d1af648805c4ea53,52,1702317183652,Body,Rock Johnson,Hat,Blue Bandana,Eyes,Ruby Gold,,
#53,NodeRocks,ipfs://NewUriToReplace/53.png,911df0b2746affca953ab29f969b7000798796463218cf8e968ce31dc02cf965,53,1702317183656,Body,Classic,Hat,White Fro,Eyes,Underworld,,
#54,NodeRocks,ipfs://NewUriToReplace/54.png,348d076d67439a1ae24c49a50df33c1bc0b2c817ad56039882cc9c94cee7786e,54,1702317183660,Body,Green,Hat,Froggy,Eyes,Ruby Gold,,
#55,NodeRocks,ipfs://NewUriToReplace/55.png,a711f5d9809185ebb316761be6b638b32b0ff1a752a149da0ee15bf9e1547b9e,55,1702317183664,Body,Emerald,Hat,Fez,Eyes,Safemode,,
#56,NodeRocks,ipfs://NewUriToReplace/56.png,d52ba22ccd9967d0328d38c78ed6f35d549736766b055106cc59feb737a8fd91,56,1702317183667,Body,Brown,Hat,Cowboy,Eyes,Visor,Mouth,Blunt
#57,NodeRocks,ipfs://NewUriToReplace/57.png,1ce310d0e4576a67d7f30448fb995b13f936153fbfe6c96155eead1049c21966,57,1702317183672,Body,Lapis Lazuli,Hat,Heli,Eyes,Stare,,
#58,NodeRocks,ipfs://NewUriToReplace/58.png,10c52fe5be005bb1d2bbf2907d54ecbb4d8322a37cc0684ba578bf71afb9f32d,58,1702317183677,Body,VHS,Hat,Top Hat,Eyes,Purple Visor,Mouth,Cigarette
#59,NodeRocks,ipfs://NewUriToReplace/59.png,1dd8c44a289dd5109a495abb65ec89684475b23655ab33ec61d154e784fa69c2,59,1702317183681,Body,Rainbow,Hat,Red Messy,Eyes,Eyepatch,,
#60,NodeRocks,ipfs://NewUriToReplace/60.png,3a11fc579b1b93514869eef40da2e7c89b852be7882adaf5f953725c2b6b71d4,60,1702317183685,Body,Green,Hat,Blue Bandana,Eyes,Ord,,
#61,NodeRocks,ipfs://NewUriToReplace/61.png,dfbf69147832a7a73d4e2de4ffff596cd281705d5523568bab48230d7a0890a7,61,1702317183691,Body,Rainbow,Hat,Blue Bandana,Eyes,Rainbow,,
#62,NodeRocks,ipfs://NewUriToReplace/62.png,109e3aeda1d9907fd2846f479a0c6572f2e898c3b6a74d421a2504a7be76658e,62,1702317183695,Body,Lapis Lazuli,Hat,Police,Eyes,Bored,Mouth,Blunt
#63,NodeRocks,ipfs://NewUriToReplace/63.png,c30ddeb1299d29c44cde83965b70ccda548121f7f41595bc0fdc4f41c599ed07,63,1702317183699,Body,Rainbow,Hat,Wiz,Eyes,Blue Cover,Mouth,Cigarette
#64,NodeRocks,ipfs://NewUriToReplace/64.png,e1868eac37b22fb25aeef60c97a18b86cbb6695b663290e256637013969a5239,64,1702317183703,Body,Brown,Hat,Wagie,Eyes,Gloss,,
#65,NodeRocks,ipfs://NewUriToReplace/65.png,965f6e60bfedc0bfa496fcda96355b55b20337b18eab8926399e13ce8ce2eefd,65,1702317183707,Body,Brown,Hat,Knit Hat,Eyes,Safemode,,
#66,NodeRocks,ipfs://NewUriToReplace/66.png,89f3ccac4aa890b1ac8f86701be6418aa9d43d148d5206fe82ba0c1b7f7226bc,66,1702317183711,Body,Emerald,Hat,Lightning,Eyes,Stoned,,
#67,NodeRocks,ipfs://NewUriToReplace/67.png,21177ebb21a409d13b4f999265e53a04b0241fb5bc6569baec54ae2990140130,67,1702317183715,Body,Rainbow,Hat,Node Hat,Eyes,Phase,,
#68,NodeRocks,ipfs://NewUriToReplace/68.png,14fd6f2d9f654c29ac2bacd3c2a2b343cf0064cc462baa0b4f848b6eb7bde941,68,1702317183719,Body,Blackrock,Hat,Satoshi Cap,Eyes,Stoned,,
#69,NodeRocks,ipfs://NewUriToReplace/69.png,d1c9eddd83306401746e776066e629d5fc1a973f8fbe1c4144c598f8dc77b505,69,1702317183723,Body,Classic,Hat,Red Messy,Eyes,Ord,,
#70,NodeRocks,ipfs://NewUriToReplace/70.png,181ded347a89e92527645f0927b795963172d0e4ce94213c80b2c7a324ef0131,70,1702317183727,Body,Pepe,Hat,Captain,Eyes,Eyepatch,,
#71,NodeRocks,ipfs://NewUriToReplace/71.png,55f17f86fd25cd137519f83595a0da276635c31f9c7bbed6d3a7a220647b2388,71,1702317183733,Body,Green,Hat,Cowboy,Eyes,Blue Cover,,
#72,NodeRocks,ipfs://NewUriToReplace/72.png,0b9bd2aad2bd4e5ff16b9f7e07a252556e768a6d5f2c6cb5391b7c60f873525b,72,1702317183737,Body,Cliff,Eyes,Electric,,,,
#73,NodeRocks,ipfs://NewUriToReplace/73.png,5f90984b002ad58e35d11fc9e368225c98bf2bd6c745a01aea255263c6e1d3a6,73,1702317183741,Body,Emerald,Hat,Satoshi Cap,Eyes,VHS,,
#74,NodeRocks,ipfs://NewUriToReplace/74.png,95a945159b0c7713eb3251b655da883f1c8283b5c980b47601dabfbf2eec078f,74,1702317183745,Body,Green,Hat,Purple Cap,Eyes,Bored,,
